,story_id,premises,premises-FOL,conclusion,conclusion-FOL,label,example_id,premises-CLIF,conclusion-CLIF
0,36,"Tyga is a rapper.
Rappers release rap albums.
Tyga released the Well Done 3 album.
Rappers are not opera singers.","IsRapper(tyga)
∀x ∀y ((IsRapper(x) ∧ ReleasedAlbum(x, y)) → IsRapAlbum(y))
ReleasedAlbum(tyga, wellDone3)
∀x (IsRapper(x) → ¬IsOperaSinger(x))",Well Done 3 is worth listening to.,IsWorthListening(wellDone3),Uncertain,106,"israpper(tyga)
forall x forall y ((israpper(x) and releasedalbum(x, y)) implies israpalbum(y))
releasedalbum(tyga, welldone3)
forall x (israpper(x) implies not isoperasinger(x))",isworthlistening(welldone3)
1,376,"All people in this tech company who are consistent and enjoy sticking to their regular routines do not like surprises.
People in this tech company who wear the same flannel shirts every day are consistent and enjoy sticking to their regular routines.
People in this tech company who do not like shopping for clothes wear the same flannel shirts every day.
Old people living in stable homes do not like surprises.
People in this tech company who have very high energy and are impulsive like surprises.
Mike works in this tech company.
If Mike is not a person who wears the same flannel shirts every day, has very high energy, and is impulsive, then Mike either is very consistent and enjoys sticking to his regular routines or does not like surprises.","∀x (InThisTechCompany(x) ∧ Consistent(x) ∧ StickTo(x, theirRegularRoutine) → ¬Like(x, surprise))
∀x (InThisTechCompany(x) ∧ ∃y (flannelShirt(y) ∧ WearEveryday(x, y)) → Consistent(x) ∧ StickTo(x, theirRegularRoutine))
∀x (InThisTechCompany(x) ∧ ¬LikeShoppingFor(x, clothes) → ∃y (flannelShirt(y) ∧ WearEveryday(x, y)))
∀x (InThisTechCompany(x) ∧ Old(x) ∧ LiveIn(x, stableHome) → ¬Like(x, surprise))
∀x (InThisTechCompany(x) ∧ Have(x, highEnergy) ∧ Impulsive(x) → ¬Like(x, surprise))
InThisTechCompany(mike)
¬(∃y (flannelShirt(y) ∧ WearEveryday(x, y)) ∧ Have(mike, highEnergy) ∧ Impulsive(mike)) → (Consistent(mike) ∧ StickTo(mike, theirRegularRoutine)) ⊕ ¬Like(mike, surprise)",Mike is an old person living in a stable home.,"Old(mike) ∧ LiveIn(mike, stableHome)",Uncertain,1002,"forall x (inthistechcompany(x) and consistent(x) and stickto(x, theirregularroutine) implies not like(x, surprise))
forall x (inthistechcompany(x) and exists y (flannelshirt(y) and weareveryday(x, y)) implies consistent(x) and stickto(x, theirregularroutine))
forall x (inthistechcompany(x) and not likeshoppingfor(x, clothes) implies exists y (flannelshirt(y) and weareveryday(x, y)))
forall x (inthistechcompany(x) and old(x) and livein(x, stablehome) implies not like(x, surprise))
forall x (inthistechcompany(x) and have(x, highenergy) and impulsive(x) implies not like(x, surprise))
inthistechcompany(mike)
not (exists y (flannelshirt(y) and weareveryday(x, y)) and have(mike, highenergy) and impulsive(mike)) implies (consistent(mike) and stickto(mike, theirregularroutine)) xor not like(mike, surprise)","old(mike) and livein(mike, stablehome)"
2,408,"No trick-shot artist in Yale's varsity team struggles with half court shots.
Everyone on Yale's varsity team is someone who struggles with half court shots or who successfully shoots a high percentage of 3-pointers.  
Everyone on Yale's varsity team who successfully shoots a high percentage of 3-pointers is solid at shooting 2-pointers.  
No one on Yale's varsity team who is solid at shooting 2-pointers is bad at mid-range shots.  
Jack is on Yale's varsity team, and he is either a trick-shot artist or he successfully shoots a high percentage of 3-pointers.","∀x ((In(x, yaleSVarsityTeam) ∧ TrickShotArtist(x)) → ¬StruggleAt(x, halfCourtShot))
∀x (In(x, yaleSVarsityTeam) → (StruggleAt(x, halfCourtShot) ∨ GoodAt(x, threes)))
∀x ((In(x, yaleSVarsityTeam) ∧ GoodAt(x, threes)) → GoodAt(x, twos))
∀x ((In(x, yaleSVarsityTeam) ∧ GoodAt(x, twos)) → BadAt(x, midRangeShot))
In(jack, yaleSVarsityTeam) ∧ (TrickShotArtist(jack) ⊕  GoodAt(jack, threes))",Jack is solid at shooting 2-pointers or bad at mid-range shots.,"GoodAt(jack, twos) ∨ BadAt(jack, midRangeShot)",True,1135,"forall x ((in(x, yalesvarsityteam) and trickshotartist(x)) implies not struggleat(x, halfcourtshot))
forall x (in(x, yalesvarsityteam) implies (struggleat(x, halfcourtshot) or goodat(x, threes)))
forall x ((in(x, yalesvarsityteam) and goodat(x, threes)) implies goodat(x, twos))
forall x ((in(x, yalesvarsityteam) and goodat(x, twos)) implies badat(x, midrangeshot))
in(jack, yalesvarsityteam) and (trickshotartist(jack) xor  goodat(jack, threes))","goodat(jack, twos) or badat(jack, midrangeshot)"
3,78,"Ableton has an office in Germany.
Ableton has an office in the USA.
USA and Germany are different countries.
Any company that has offices in different countries is a multinational company.
Ableton makes music software.","OfficeIn(ableton, germany)
OfficeIn(ableton, unitedStates)
¬SameCountry(germany, unitedStates)
∀x ∀y ∀z (OfficeIn(x, y) ∧ OfficeIn(x, z) ∧ (¬SameCountry(y, z)) → MultinationalCompany(x))
MakesMusicSoftware(ableton)",Ableton makes AI software.,MakesAISoftware(ableton),Uncertain,238,"officein(ableton, germany)
officein(ableton, unitedstates)
not samecountry(germany, unitedstates)
forall x forall y forall z (officein(x, y) and officein(x, z) and (not samecountry(y, z)) implies multinationalcompany(x))
makesmusicsoftware(ableton)",makesaisoftware(ableton)
4,345,"All kids are young.
All toddlers are kids.
If someone is young, then they are not elderly.
All pirates are seafarers.
If Nancy is not a pirate, then Nancy is young.
If Nancy is not a toddler, then Nancy is a seafarer.","∀x (Kid(x) → Young(x))
∀x (Toddler(x) → Kid(x))
∀x (Young(x) → ¬Elderly(x))
∀x (Pirate(x) → Seafarer(x))
¬Pirate(nancy) → Young(nancy)
¬Toddler(nancy) → Seafarer(nancy)","Nancy is either both a pirate and a toddler, or neither a pirate nor a toddler.",¬(Pirate(nancy) ⊕ Toddler(nancy)),False,911,"forall x (kid(x) implies young(x))
forall x (toddler(x) implies kid(x))
forall x (young(x) implies not elderly(x))
forall x (pirate(x) implies seafarer(x))
not pirate(nancy) implies young(nancy)
not toddler(nancy) implies seafarer(nancy)",not (pirate(nancy) xor toddler(nancy))
5,427,"If a person pays their taxes, then they contribute to the country. 
Everyone who works for a government department pays a tax on their salary. 
Everyone in the army is an employee of a government department.
Everyone convicted of murder goes to prison. 
Everyone who has been to prison has a criminal record.
James was either once convicted of murder, or spent time in prison.
James either has a criminal record, or pays his taxes. ","∀x (Taxpayer(x) → ContributeTo(x, country))
∀x (WorkFor(x, governmentAgency) → Taxpayer(x))
∀x (ServesIn(x, theArmy) → WorkFor(x, governmentAgency))
∀x (SentencedForMurder(x) → Imprisoned(x))
∀x (Imprisoned((x) → Has(x, criminalRecord))
SentencedForMurder(james) ⊕ Imprisoned(james) 
Has(james, criminalRecord) ⊕ Taxpayer(james)",James contributes to the country.,ContributeToCountry(james),Uncertain,1211,"forall x (taxpayer(x) implies contributeto(x, country))
forall x (workfor(x, governmentagency) implies taxpayer(x))
forall x (servesin(x, thearmy) implies workfor(x, governmentagency))
forall x (sentencedformurder(x) implies imprisoned(x))
forall x (imprisoned((x) implies has(x, criminalrecord))
sentencedformurder(james) xor imprisoned(james) 
has(james, criminalrecord) xor taxpayer(james)",contributetocountry(james)
6,123,"Businesses are either sanctioned or unsanctioned.
Sanctioned businesses are limited.
Unsanctioned businesses are free.
The Crude Oil Data Exchange is a business that isn't free.","∀x (Buisness(x) → Sanctioned(x) ⊕ ¬Sanctioned(x))
∀x (Buisness(x) ∧ Sanctioned(x) → Limited(x))
∀x (Buisness(x) ∧ ¬Sanctioned(x) → Free(x))
Buisness(crudeOilDataExchange) ∧ ¬Free(crudeOilDataExchange)",Crude Oil Data Exchange is limited.,Limited(crudeOilDataExchange),True,369,"forall x (buisness(x) implies sanctioned(x) xor not sanctioned(x))
forall x (buisness(x) and sanctioned(x) implies limited(x))
forall x (buisness(x) and not sanctioned(x) implies free(x))
buisness(crudeoildataexchange) and not free(crudeoildataexchange)",limited(crudeoildataexchange)
7,398,"All mind-reading is either brain reading or brain decoding. 
All brain decoding that is mind-reading is extracting information from BOLD signals.
No studies that are mind-reading and extract information from BOLD signals are without statistical pattern analysis. 
Writing a novel is without statistical pattern analysis.
If multivoxel (pattern) analysis is without statistical pattern analysis and a brain reading, then multivoxel (pattern) analysis is without statistical pattern analysis and brain decoding.
Multivoxel (pattern) analysis is a type of mind-reading.","∀x (MindReading(x) ∧ (BrainReading(x) ⊕ BrainDecoding(x)))
∀x ((MindReading(x) ∧ BrainDecoding(x)) → ExtractingFrom(x, information, bOLDSignals))
∀x ((MindReading(x) ∧ ExtractingFrom(x, information, bOLDSignals)) → Uses(x, statisticalPatternAnalysis))
∀x (NovelWriting(x) → ¬Uses(x, statisticalPatternAnalysis)) 
MindReading(multivoxelPatternAnalysis) ∧ (¬Uses(multivoxelPatternAnalysis, statisticalPatternAnalysis) ∧ BrainReading(multivoxelPatternAnalysis)) →  (¬Uses(multivoxelPatternAnalysis, statisticalPatternAnalysis) ∧ (¬BrainDecoding(multivoxelPatternAnalysis)))
MindReading(multivoxelPatternAnalysis) ",Multivoxel (pattern) analysis is a brain decoding.,MindReading(multivoxelPatternAnalysis) ∧ BrainDecoding(multivoxelPatternAnalysis),Uncertain,1084,"forall x (mindreading(x) and (brainreading(x) xor braindecoding(x)))
forall x ((mindreading(x) and braindecoding(x)) implies extractingfrom(x, information, boldsignals))
forall x ((mindreading(x) and extractingfrom(x, information, boldsignals)) implies uses(x, statisticalpatternanalysis))
forall x (novelwriting(x) implies not uses(x, statisticalpatternanalysis)) 
mindreading(multivoxelpatternanalysis) and (not uses(multivoxelpatternanalysis, statisticalpatternanalysis) and brainreading(multivoxelpatternanalysis)) implies  (not uses(multivoxelpatternanalysis, statisticalpatternanalysis) and (not braindecoding(multivoxelpatternanalysis)))
mindreading(multivoxelpatternanalysis) ",mindreading(multivoxelpatternanalysis) and braindecoding(multivoxelpatternanalysis)
8,403,"There's a person in Benji's family who likes eating cheese or is a francophile.
There is no francophile in Benji's family whose favorite country is Spain.
There is a person in Benji's family who likes eating cheese or whose favorite country is Spain.
Fabien is in Benji's family and  does not both study Spanish and also like eating cheese.
Fabien studies Spanish.","∃x (InBenjiSFamily(x) → (LikeEating(x, cheese) ∨ Francophile(x)))
∀x ((InBenjiSFamily(x) ∧ Francophile(x)) → ¬Favor(x, spain))
∃x (InBenjiSFamily(x) ∧ (Favor(x, spain) ∨ LikeEating(x, cheese)))
InBenjiSFamily(fabien) ∧ (¬(LikeEating(fabien, cheese) ∧ Study(fabien, spanish)))
Study(fabien, spanish)",Fabien is a person who likes eating cheese.,"LikeEating(fabien, cheese)",Uncertain,1117,"exists x (inbenjisfamily(x) implies (likeeating(x, cheese) or francophile(x)))
forall x ((inbenjisfamily(x) and francophile(x)) implies not favor(x, spain))
exists x (inbenjisfamily(x) and (favor(x, spain) or likeeating(x, cheese)))
inbenjisfamily(fabien) and (not (likeeating(fabien, cheese) and study(fabien, spanish)))
study(fabien, spanish)","likeeating(fabien, cheese)"
9,111,"Aberdeen won the cup in the 2013 final.
Rangers won the cup in the 2014 final.
Aberdeen and Rangers are different teams.
Different teams cannot win the cup in the same year's final.","WonCup(aberdeen, year2013Final)
WonCup(rangers, year2014Final)
¬(aberdeen=rangers)
∀x ∀y ∀z ∀w (¬(x=y) ∧ WonCup(x, z) ∧ WonCup(y, w) → ¬(z=w))",Aberdeen has once won a cup.,"∃x (WonCup(aberdeen, x))",True,338,"woncup(aberdeen, year2013final)
woncup(rangers, year2014final)
not (aberdeen=rangers)
forall x forall y forall z forall w (not (x=y) and woncup(x, z) and woncup(y, w) implies not (z=w))","exists x (woncup(aberdeen, x))"
