Unnamed: 0,Premises - NL,Conclusions - NL,Truth Values,Premises - FOL,Conclusions - FOL,Comments,Verified by Prover,Premises - CLIF,Conclusions - CLIF,Premises - CLINGO,Conclusions - CLINGO,Premises - CGIF,Conclusions - CGIF,Premises - MINIFOL2,Conclusions - MINIFOL2,Premises - TFLPLUS,Conclusions - TFLPLUS
69,"Brian Winter is a Scottish football referee.
After being injured, Brian Winter retired in 2012.
Brian Winter was appointed as a referee observer after his retirement.
Some football referees become referee observers.
The son of Brian Winter, Andy Winter, is a football player who plays for Hamilton Academical.",Brian Winter is retired.,T,"Scottish(brianWinter) ∧ FootballReferee(brianWinter)
Retired(brianWinter) ∧ RetiredIn(brianWinter, yr2012)
RefereeObserver(brianWinter)
∃x (FootballReferee(x) ∧ RefereeObserver(x))
SonOf(andyWinter, brianWinter) ∧ FootballPlayer(andyWinter) ∧ PlaysFor(andyWinter, hamiltonAcademical)",Retired(brianwinter),,,"scottish(brianwinter) and footballreferee(brianwinter)
retired(brianwinter) and retiredin(brianwinter, yr2012)
refereeobserver(brianwinter)
exists x (footballreferee(x) and refereeobserver(x))
sonof(andywinter, brianwinter) and footballplayer(andywinter) and playsfor(andywinter, hamiltonacademical)",retired(brianwinter),"scottish(brianwinter) , footballreferee(brianwinter)
retired(brianwinter) , retiredin(brianwinter, yr2012)
refereeobserver(brianwinter)
 (footballreferee(x) , refereeobserver(x))
sonof(andywinter, brianwinter) , footballplayer(andywinter) , playsfor(andywinter, hamiltonacademical)",retired(brianwinter),"[scottish[(brianwinter)]  footballreferee[(brianwinter)]
retired[(brianwinter)]  retiredin[(brianwinter  yr2012)]
refereeobserver[(brianwinter)]
*x [(footballreferee[(?x)]  refereeobserver[(?x)])]
sonof[(andywinter  brianwinter)]  footballplayer[(andywinter)]  playsfor[(andywinter  hamiltonacademical)]]",[retired[(brianwinter)]],"scottish(brianwinter) & footballreferee(brianwinter)
retired(brianwinter) & retiredin(brianwinter, yr2012)
refereeobserver(brianwinter)
x (footballreferee(x) & refereeobserver(x))
sonof(andywinter, brianwinter) & footballplayer(andywinter) & playsfor(andywinter, hamiltonacademical)",retired(brianwinter),+S2(+b2)++F2(+b2)+R2(+b2)++R2+R2(+b2)+(+F1++R1)+S2++F2(+a2)++P2,+R2(+b2)
77,"Jan Jelinek makes glitch and minimal techno music.
Anyone making glitch, minimal techno, or microhouse is an electronic musician.
Jan Jelinek publishes music through the Faitiche label.
Any musician releasing music through a label is a signed musician.",Jan Jelinek is an electronic musician.,T,"Make(janJelinek, glitch) ∧ Make(janJelinek, minimalTechno)
∀x ((Make(x, glitch) ∨ Make(x, minimalTechno) ∨ Make(x, microHouse)) → ElectronicMusician(x))
PublishThroughLabel(janJelinek, faitiche)
∀x ((∃y(PublishThroughLabel(x, y))) → SignedMusician(x))",ElectronicMusician(janJelinek),,,"make(janjelinek, glitch) and make(janjelinek, minimaltechno)
forall x ((make(x, glitch) or make(x, minimaltechno) or make(x, microhouse)) implies electronicmusician(x))
publishthroughlabel(janjelinek, faitiche)
forall x ((exists y(publishthroughlabel(x, y))) implies signedmusician(x))",electronicmusician(janjelinek),"make(janjelinek, glitch) , make(janjelinek, minimaltechno)
forall ((make(x, glitch) | make(x, minimaltechno) | make(x, microhouse)) -: electronicmusician(x))
publishthroughlabel(janjelinek, faitiche)
forall (((publishthroughlabel(x, y))) -: signedmusician(x))",electronicmusician(janjelinek),"[make[(janjelinek  glitch)]  make[(janjelinek  minimaltechno)]
@every *x [([(make[(?x  glitch)]  make[(?x  minimaltechno)]  make[(?x  microhouse)])]  electronicmusician[(?x)])]
publishthroughlabel[(janjelinek  faitiche)]
@every *x [([(*y[(publishthroughlabel[(?x  y)])])]  signedmusician[(?x)])]]",[electronicmusician[(janjelinek)]],"make(janjelinek, glitch) & make(janjelinek, minimaltechno)
all:x ((make(x, glitch) | make(x, minimaltechno) | make(x, microhouse)) :- electronicmusician(x))
publishthroughlabel(janjelinek, faitiche)
all:x ((y(publishthroughlabel(x, y))) :- signedmusician(x))",electronicmusician(janjelinek),+M2++M2-((+M0-+M0-+M0)-+E0)+P2-((+(+P1))-+S1),+E2(+j2)
85,"Diethylcarbamazine is a medication discovered in the year 1947.
Diethylcarbamazine can be used to treat river blindness.
The only preferred treatment for river blindness is ivermectin.
Diethylcarbamazine is not ivermectin.",Diethylcarbamazine was often used to treat river blindness.,U,"Medication(diethylcarbamazine) ∧ DiscoversIn(diethylcarbamazine, yr1947)
Treats(diethylcarbamazine, riverBlindness)
PreferredTreatmentFor(riverBlindness, ivermectin)
¬(Is(diethylcarbamazine, ivermectin))","Treats(diethylcarbamazine, riverBlindness)",,,"medication(diethylcarbamazine) and discoversin(diethylcarbamazine, yr1947)
treats(diethylcarbamazine, riverblindness)
preferredtreatmentfor(riverblindness, ivermectin)
not (is(diethylcarbamazine, ivermectin))","treats(diethylcarbamazine, riverblindness)","medication(diethylcarbamazine) , discoversin(diethylcarbamazine, yr1947)
treats(diethylcarbamazine, riverblindness)
preferredtreatmentfor(riverblindness, ivermectin)
not(is(diethylcarbamazine, ivermectin))","treats(diethylcarbamazine, riverblindness)","[medication[(diethylcarbamazine)]  discoversin[(diethylcarbamazine  yr1947)]
treats[(diethylcarbamazine  riverblindness)]
preferredtreatmentfor[(riverblindness  ivermectin)]
~[(is[(diethylcarbamazine  ivermectin)])]]",[treats[(diethylcarbamazine  riverblindness)]],"medication(diethylcarbamazine) & discoversin(diethylcarbamazine, yr1947)
treats(diethylcarbamazine, riverblindness)
preferredtreatmentfor(riverblindness, ivermectin)
~(is(diethylcarbamazine, ivermectin))","treats(diethylcarbamazine, riverblindness)",+M2(+d2)++D2+T2+P2-(+I2),+T2
55,"A businessperson is someone who has ownership over part of a company. 
People who own a company make money from it. 
A businessperson can be either a businessman or a businesswoman. 
Many businesspersons are extroverted.
Businesspersons can handle money well.
Bob is a businessman who has ownership over Microsoft.",Bob is a businessperson who makes money off Microsoft.,T,"∀x (BusinessPerson(x) → ∃y(Company(y) ∧ Ownership(x, y)))
∀x ∀y (Ownership(x, y) → MakeMoney(x, y))
∀x (BusinessPerson(x) → (BusinessMan(x) ⊕ BusinessWoman(x)))
∃x (BusinessPerson(x) ∧ Extrovert(x))
∀x (BusinessPerson(x) → HandleMoney(x))
BusinessPerson(bob) ∧ Ownership(bob, microsoft)","BusinessPerson(bob) ∧ MakeMoney(bob, microsoft)",,,"forall x (businessperson(x) implies exists y(company(y) and ownership(x, y)))
forall x forall y (ownership(x, y) implies makemoney(x, y))
forall x (businessperson(x) implies (businessman(x) xor businesswoman(x)))
exists x (businessperson(x) and extrovert(x))
forall x (businessperson(x) implies handlemoney(x))
businessperson(bob) and ownership(bob, microsoft)","businessperson(bob) and makemoney(bob, microsoft)","forall (businessperson(x) -: (company(y) , ownership(x, y)))
forall forall (ownership(x, y) -: makemoney(x, y))
forall (businessperson(x) -: (businessman(x) ^ businesswoman(x)))
 (businessperson(x) , extrovert(x))
forall (businessperson(x) -: handlemoney(x))
businessperson(bob) , ownership(bob, microsoft)","businessperson(bob) , makemoney(bob, microsoft)","[@every *x [(businessperson[(?x)]  *y[(company[(?y)]  ownership[(?x  y)])])]
@every *x @every *y [(ownership[(?x  y)]  makemoney[(?x  y)])]
@every *x [(businessperson[(?x)]  [(businessman[(?x)]  businesswoman[(?x)])])]
*x [(businessperson[(?x)]  extrovert[(?x)])]
@every *x [(businessperson[(?x)]  handlemoney[(?x)])]
businessperson[(bob)]  ownership[(bob  microsoft)]]",[businessperson[(bob)]  makemoney[(bob  microsoft)]],"all:x (businessperson(x) :- y(company(y) & ownership(x, y)))
all:x all:y (ownership(x, y) :- makemoney(x, y))
all:x (businessperson(x) :- (businessman(x) ^ businesswoman(x)))
x (businessperson(x) & extrovert(x))
all:x (businessperson(x) :- handlemoney(x))
businessperson(bob) & ownership(bob, microsoft)","businessperson(bob) & makemoney(bob, microsoft)",-(+B0-+(+C1++O1))--(+O0-+M0)-(+B0-(+B0-+B0))+(+B1++E1)-(+B0-+H0)+B2(+b2)++O2,+B2(+b2)++M2
49,"Quincy McDuffie is an American professional wide receiver in Canadian Football.
People who can catch balls are good wide receivers. 
Quincy McDuffie can catch some footballs easily.
Good wide receivers play professionally.
Good wide receivers can catch with both their left and right hand.
All footballs are balls.",Quincy McDuffie can catch every ball.,U,"American(quincyMcduffie) ∧ Professional(quincyMcduffie) ∧ WideReciever(quincyMcduffie) ∧ PlaysIn(quincyMcduffie, cFL)
∀x ((∃y(CanCatch(x, y) ∧ Ball(y))) → GoodWideReceiver(x))
∃x ∃y (Football(x) ∧ CanCatch(quincymcduffie, x)) ∧ (¬(x=y) ∧ (Football(y) ∧ CanCatch(quincymcduffie, y))
∀x (GoodWideReceiver(x) → Professional(x))
∀x (GoodWideReceiver(x) → (CanCatchWith(x, lefthand) ∧ CanCatchWith(x, righthand)))
∀x (Football(x) → Ball(x))","∀x (Ball(x) → CanCatch(quincymcduffie, x))",,,"american(quincymcduffie) and professional(quincymcduffie) and widereciever(quincymcduffie) and playsin(quincymcduffie, cfl)
forall x ((exists y(cancatch(x, y) and ball(y))) implies goodwidereceiver(x))
exists x exists y (football(x) and cancatch(quincymcduffie, x)) and (not (x=y) and (football(y) and cancatch(quincymcduffie, y))
forall x (goodwidereceiver(x) implies professional(x))
forall x (goodwidereceiver(x) implies (cancatchwith(x, lefthand) and cancatchwith(x, righthand)))
forall x (football(x) implies ball(x))","forall x (ball(x) implies cancatch(quincymcduffie, x))","american(quincymcduffie) , professional(quincymcduffie) , widereciever(quincymcduffie) , playsin(quincymcduffie, cfl)
forall (((cancatch(x, y) , ball(y))) -: goodwidereceiver(x))
  (football(x) , cancatch(quincymcduffie, x)) , (not(x=y) , (football(y) , cancatch(quincymcduffie, y))
forall (goodwidereceiver(x) -: professional(x))
forall (goodwidereceiver(x) -: (cancatchwith(x, lefthand) , cancatchwith(x, righthand)))
forall (football(x) -: ball(x))","forall (ball(x) -: cancatch(quincymcduffie, x))","[american[(quincymcduffie)]  professional[(quincymcduffie)]  widereciever[(quincymcduffie)]  playsin[(quincymcduffie  cfl)]
@every *x [([(*y[(cancatch[(?x  y)]  ball[(?y)])])]  goodwidereceiver[(?x)])]
*x *y [(football[(?x)]  cancatch[(quincymcduffie  x)])]  [(~[(?x=y)]  [(football[(?y)]  cancatch[(quincymcduffie  y)])]
@every *x [(goodwidereceiver[(?x)]  professional[(?x)])]
@every *x [(goodwidereceiver[(?x)]  [(cancatchwith[(?x  lefthand)]  cancatchwith[(?x  righthand)])])]
@every *x [(football[(?x)]  ball[(?x)])]]",[@every *x [(ball[(?x)]  cancatch[(quincymcduffie  x)])]],"american(quincymcduffie) & professional(quincymcduffie) & widereciever(quincymcduffie) & playsin(quincymcduffie, cfl)
all:x ((y(cancatch(x, y) & ball(y))) :- goodwidereceiver(x))
x y (football(x) & cancatch(quincymcduffie, x)) & (~(x=y) & (football(y) & cancatch(quincymcduffie, y))
all:x (goodwidereceiver(x) :- professional(x))
all:x (goodwidereceiver(x) :- (cancatchwith(x, lefthand) & cancatchwith(x, righthand)))
all:x (football(x) :- ball(x))","all:x (ball(x) :- cancatch(quincymcduffie, x))",+A2(+q2)++P2(+q2)++W2(+q2)++P2-((+(+C1++B1))-+G1)++(+F1++C1)+(-(+x1)+(+F1++C1)-(+G0-+P0)-(+G0-(+C0++C0))-(+F0-+B0),-(+B0-+C0)
57,"All pets are animals.
Pets can be either a dog or a cat.
If a person has a pet, they care for that pet. 
Dogs and cats can be naughty. 
Pets who are naughty are not liked as much. 
Charlie has a naughty pet dog named Leo. ",Charlie does not like Leo and does not care for Leo.,F,"∀x (Pet(x) → Animal(x))
∀x (Pet(x) → (Dog(x) ⊕ Cat(x)))
∀x ∀y ((Pet(y) ∧ OwnedBy(x,y)) → Cares(x, y))
∃x ∃y (Cat(x) ∧ Naughty(x) ∧ (¬(x=y)) ∧ Dog(y) ∧ Naughty(y))
∀x ∀y ((Pet(x) ∧ Naughty(x) ∧ OwnedBy(x,y)) → ¬Liked(x, y))
OwnedBy(leo, charlie) ∧ Pet(leo) ∧ Dog(leo) ∧ Naughty(leo)","¬Liked(leo, charlie) ∧ ¬Cares(charlie, leo)",,,"forall x (pet(x) implies animal(x))
forall x (pet(x) implies (dog(x) xor cat(x)))
forall x forall y ((pet(y) and ownedby(x,y)) implies cares(x, y))
exists x exists y (cat(x) and naughty(x) and (not (x=y)) and dog(y) and naughty(y))
forall x forall y ((pet(x) and naughty(x) and ownedby(x,y)) implies not liked(x, y))
ownedby(leo, charlie) and pet(leo) and dog(leo) and naughty(leo)","not liked(leo, charlie) and not cares(charlie, leo)","forall (pet(x) -: animal(x))
forall (pet(x) -: (dog(x) ^ cat(x)))
forall forall ((pet(y) , ownedby(x,)) -: cares(x, y))
  (cat(x) , naughty(x) , (not(x=y)) , dog(y) , naughty(y))
forall forall ((pet(x) , naughty(x) , ownedby(x,)) -: notliked(x, y))
ownedby(leo, charlie) , pet(leo) , dog(leo) , naughty(leo)","notliked(leo, charlie) , notcares(charlie, leo)","[@every *x [(pet[(?x)]  animal[(?x)])]
@every *x [(pet[(?x)]  [(dog[(?x)]  cat[(?x)])])]
@every *x @every *y [([(pet[(?y)]  ownedby[(?x ?y)])]  cares[(?x  y)])]
*x *y [(cat[(?x)]  naughty[(?x)]  [(~[(?x=y)])]  dog[(?y)]  naughty[(?y)])]
@every *x @every *y [([(pet[(?x)]  naughty[(?x)]  ownedby[(?x ?y)])]  ~liked[(?x  y)])]
ownedby[(leo  charlie)]  pet[(leo)]  dog[(leo)]  naughty[(leo)]]",~[liked[(leo  charlie)]  ~cares[(charlie  leo)]],"all:x (pet(x) :- animal(x))
all:x (pet(x) :- (dog(x) ^ cat(x)))
all:x all:y ((pet(y) & ownedby(x,y)) :- cares(x, y))
x y (cat(x) & naughty(x) & (~(x=y)) & dog(y) & naughty(y))
all:x all:y ((pet(x) & naughty(x) & ownedby(x,y)) :- ~liked(x, y))
ownedby(leo, charlie) & pet(leo) & dog(leo) & naughty(leo)","~liked(leo, charlie) & ~cares(charlie, leo)",-(+P0-+A0)-(+P0-(+D0-+C0))--((+P0++O0)-+C0)++(+C1++N1+(-(+x1))++D1++N1)--((+P0++N0++O0)--+L0)+O2++P2(+l2)++D2(+l2)++N2(+l2),-+L2+-+C2
14,"The USS Salem is a heavy cruiser built for the United States Navy.
The last heavy cruiser to enter service was the USS Salem.
The USS Salem is a museum ship.
Museum ships are open to the public.
The USS Salem served in the Atlantic and Mediterranean.",The USS Salem is open to the public.,T,"HeavyCruiser(usssalem) ∧ BuiltFor(usssalem, unitedstatesnavy)
LastHeavyCruiserToEnterService(usssalem)
MuseumShip(usssalem)
∀x (MuseumShip(x) → OpenToPublic(x))
ServedIn(usssalem, atlantic) ∧ ServedIn(usssalem, mediterranean)",OpenToPublic(usssalem),,,"heavycruiser(usssalem) and builtfor(usssalem, unitedstatesnavy)
lastheavycruisertoenterservice(usssalem)
museumship(usssalem)
forall x (museumship(x) implies opentopublic(x))
servedin(usssalem, atlantic) and servedin(usssalem, mediterranean)",opentopublic(usssalem),"heavycruiser(usssalem) , builtfor(usssalem, unitedstatesnavy)
lastheavycruisertoenterservice(usssalem)
museumship(usssalem)
forall (museumship(x) -: opentopublic(x))
servedin(usssalem, atlantic) , servedin(usssalem, mediterranean)",opentopublic(usssalem),"[heavycruiser[(usssalem)]  builtfor[(usssalem  unitedstatesnavy)]
lastheavycruisertoenterservice[(usssalem)]
museumship[(usssalem)]
@every *x [(museumship[(?x)]  opentopublic[(?x)])]
servedin[(usssalem  atlantic)]  servedin[(usssalem  mediterranean)]]",[opentopublic[(usssalem)]],"heavycruiser(usssalem) & builtfor(usssalem, unitedstatesnavy)
lastheavycruisertoenterservice(usssalem)
museumship(usssalem)
all:x (museumship(x) :- opentopublic(x))
servedin(usssalem, atlantic) & servedin(usssalem, mediterranean)",opentopublic(usssalem),+H2(+u2)++B2+L2(+u2)+M2(+u2)-(+M0-+O0)+S2++S2,+O2(+u2)
13,"System 7 is a UK-based electronic dance music band.
Steve Hillage and Miquette Giraudy formed System 7.
Steve Hillage and Miquette Giraudy are former members of the band Gong.
Electric dance music bands are bands.
System 7 has released several club singles.
Club singles are not singles.",System 7 has released several singles.,U,"BasedIn(system7, uk) ∧ ElectronicDanceMusicBand(system7)
Form(stevehillage, system7) ∧ Form(miquettegiraudy, system7)
FormerMemberOf(stevehillage, gong) ∧ FormerMemberOf(miquettegiraudy, gong)
∀x (ElectronicDanceMusicBand(x) → Band(x))
∃x (ClubSingle(x) ∧ Release(system7, x))
∀x (ClubSingle(x) → ¬Single(x))","∃x (Single(x) ∧ Release(system7, x))",,,"basedin(system7, uk) and electronicdancemusicband(system7)
form(stevehillage, system7) and form(miquettegiraudy, system7)
formermemberof(stevehillage, gong) and formermemberof(miquettegiraudy, gong)
forall x (electronicdancemusicband(x) implies band(x))
exists x (clubsingle(x) and release(system7, x))
forall x (clubsingle(x) implies not single(x))","exists x (single(x) and release(system7, x))","basedin(system7, uk) , electronicdancemusicband(system7)
form(stevehillage, system7) , form(miquettegiraudy, system7)
formermemberof(stevehillage, gong) , formermemberof(miquettegiraudy, gong)
forall (electronicdancemusicband(x) -: band(x))
 (clubsingle(x) , release(system7, x))
forall (clubsingle(x) -: notsingle(x))"," (single(x) , release(system7, x))","[basedin[(system7  uk)]  electronicdancemusicband[(system7)]
form[(stevehillage  system7)]  form[(miquettegiraudy  system7)]
formermemberof[(stevehillage  gong)]  formermemberof[(miquettegiraudy  gong)]
@every *x [(electronicdancemusicband[(?x)]  band[(?x)])]
*x [(clubsingle[(?x)]  release[(system7  x)])]
@every *x [(clubsingle[(?x)]  ~single[(?x)])]]",[*x [(single[(?x)]  release[(system7  x)])]],"basedin(system7, uk) & electronicdancemusicband(system7)
form(stevehillage, system7) & form(miquettegiraudy, system7)
formermemberof(stevehillage, gong) & formermemberof(miquettegiraudy, gong)
all:x (electronicdancemusicband(x) :- band(x))
x (clubsingle(x) & release(system7, x))
all:x (clubsingle(x) :- ~single(x))","x (single(x) & release(system7, x))",+B2++E2(+s2)+F2++F2+F2++F2-(+E0-+B0)+(+C1++R1)-(+C0--+S0),+(+S1++R1)
26,"Some mammals have teeth.
Platypuses have no teeth.
Platypuses are mammals. 
Humans have teeth.",Platypuses are reptiles.,U,"∃x ∃y (Mammal(x) ∧ Mammal(y) ∧ (¬(x=y)) ∧ Have(x, teeth) ∧ Have(y, teeth))
¬Have(platypus, teeth)
Mammal(platypus)
Have(humans, teeth)",Reptile(platypus),,,"exists x exists y (mammal(x) and mammal(y) and (not (x=y)) and have(x, teeth) and have(y, teeth))
not have(platypus, teeth)
mammal(platypus)
have(humans, teeth)",reptile(platypus),"  (mammal(x) , mammal(y) , (not(x=y)) , have(x, teeth) , have(y, teeth))
nothave(platypus, teeth)
mammal(platypus)
have(humans, teeth)",reptile(platypus),"[*x *y [(mammal[(?x)]  mammal[(?y)]  [(~[(?x=y)])]  have[(?x  teeth)]  have[(?y  teeth)])]
~have[(platypus  teeth)]
mammal[(platypus)]
have[(humans  teeth)]]",[reptile[(platypus)]],"x y (mammal(x) & mammal(y) & (~(x=y)) & have(x, teeth) & have(y, teeth))
~have(platypus, teeth)
mammal(platypus)
have(humans, teeth)",reptile(platypus),++(+M1++M1+(-(+x1))++H1++H1)-+H1+M2(+p2)+H2,+R2(+p2)
32,"Hugh Vanstone is one of the world's leading lighting designers. 
Hugh Vanstone is from the UK.
Hugh Vanstone has lit more than 160 productions.
Hugh Vanstone attended a school where he is from. ",Hugh Vanstone attended a school in the United States.,U,"WorldLeadingLightingDesigner(hughVanstone)
From(hughVanstone, unitedKingdom)
∃x(GreaterThan(x, num160) ∧ LitProductions(hughVanstone,x))
∃x(Hometown(hughVanstone,x) ∧ AttendedSchoolIn(hughVanstone,x))","AttendedSchoolIn(hughVanstone, unitedStates)",,,"worldleadinglightingdesigner(hughvanstone)
from(hughvanstone, unitedkingdom)
exists x(greaterthan(x, num160) and litproductions(hughvanstone,x))
exists x(hometown(hughvanstone,x) and attendedschoolin(hughvanstone,x))","attendedschoolin(hughvanstone, unitedstates)","worldleadinglightingdesigner(hughvanstone)
from(hughvanstone, unitedkingdom)
(greaterthan(x, num160) , litproductions(hughvanstone,))
(hometown(hughvanstone,) , attendedschoolin(hughvanstone,))","attendedschoolin(hughvanstone, unitedstates)","[worldleadinglightingdesigner[(hughvanstone)]
from[(hughvanstone  unitedkingdom)]
*x[(greaterthan[(?x  num160)]  litproductions[(hughvanstone ?x)])]
*x[(hometown[(hughvanstone ?x)]  attendedschoolin[(hughvanstone ?x)])]]",[attendedschoolin[(hughvanstone  unitedstates)]],"worldleadinglightingdesigner(hughvanstone)
from(hughvanstone, unitedkingdom)
x(greaterthan(x, num160) & litproductions(hughvanstone,x))
x(hometown(hughvanstone,x) & attendedschoolin(hughvanstone,x))","attendedschoolin(hughvanstone, unitedstates)",+W2(+h2)+F2+(+G1++L1)+(+H1++A1),+A2
