id,syllogism,validity,plausibility,fol,clif,cgif,clingo,tflplus,minifol2,sef
1230d4f7-42c5-4131-bbf3-5fe5387c93ea,"There are no tables that are chairs. All zebras are, without exception, chairs. It is therefore suggested that some zebras are tables.",False,False,"∃x (NoTableThat(x) ∧ Chair(x))
 ∀x (Zebra(x) → WithoutExceptionChair(x))
 ∀x (It(x) → Thing(x))
 ∀x (SuggestedThatSomeZebra(x) → Table(x))
","exists x (notablethat(x) and chair(x))
 forall x (zebra(x) implies withoutexceptionchair(x))
 forall x (it(x) implies thing(x))
 forall x (suggestedthatsomezebra(x) implies table(x))
","[*x [(notablethat[(?x)]  chair[(?x)])]
 @every *x [(zebra[(?x)]  withoutexceptionchair[(?x)])]
 @every *x [(it[(?x)]  thing[(?x)])]
 @every *x [(suggestedthatsomezebra[(?x)]  table[(?x)])]
]"," (notablethat(x) , chair(x))
 forall (zebra(x) -: withoutexceptionchair(x))
 forall (it(x) -: thing(x))
 forall (suggestedthatsomezebra(x) -: table(x))
",+(+N1++C1)-(+Z0-+W0)-(+I0-+T0)-(+S0-+T0),"x (notablethat(x) & chair(x))
 all:x (zebra(x) :- withoutexceptionchair(x))
 all:x (it(x) :- thing(x))
 all:x (suggestedthatsomezebra(x) :- table(x))
",categorical
22,"Every armor serves as a protective covering. All protective coverings are considered coverings. Therefore, every armor is a type of covering.",True,True,"∀x (ArmorServeAsAProtectiveCovering(x))
 ∀x (ProtectiveCovering(x) → ConsideredCovering(x))
 ∀x (EveryArmor(x) → TypeOfCovering(x))
","forall x (armorserveasaprotectivecovering(x))
 forall x (protectivecovering(x) implies consideredcovering(x))
 forall x (everyarmor(x) implies typeofcovering(x))
","[@every *x [(armorserveasaprotectivecovering[(?x)])]
 @every *x [(protectivecovering[(?x)]  consideredcovering[(?x)])]
 @every *x [(everyarmor[(?x)]  typeofcovering[(?x)])]
]","forall (armorserveasaprotectivecovering(x))
 forall (protectivecovering(x) -: consideredcovering(x))
 forall (everyarmor(x) -: typeofcovering(x))
",-(+A0)-(+P0-+C0)-(+E0-+T0),"all:x (armorserveasaprotectivecovering(x))
 all:x (protectivecovering(x) :- consideredcovering(x))
 all:x (everyarmor(x) :- typeofcovering(x))
",categorical
52c7696c-f9c1-4611-9300-db39de41cf50,"Some penguins are birds. Every bird is an animal. As such, it is necessarily true that some animals are penguins.",True,True,"∃x (Penguin(x) ∧ Bird(x))
 ∀x (Bird(x) → Animal(x))
 ∀x (AsSuchIt(x) → NecessarilyTrueThatSomeAnimalPenguin(x))
","exists x (penguin(x) and bird(x))
 forall x (bird(x) implies animal(x))
 forall x (assuchit(x) implies necessarilytruethatsomeanimalpenguin(x))
","[*x [(penguin[(?x)]  bird[(?x)])]
 @every *x [(bird[(?x)]  animal[(?x)])]
 @every *x [(assuchit[(?x)]  necessarilytruethatsomeanimalpenguin[(?x)])]
]"," (penguin(x) , bird(x))
 forall (bird(x) -: animal(x))
 forall (assuchit(x) -: necessarilytruethatsomeanimalpenguin(x))
",+(+P1++B1)-(+B0-+A0)-(+A0-+N0),"x (penguin(x) & bird(x))
 all:x (bird(x) :- animal(x))
 all:x (assuchit(x) :- necessarilytruethatsomeanimalpenguin(x))
",categorical
9b9b24ec-59d6-43ca-8165-0ae4d688cda0,"Every dog is a canine. Some canines are terriers. Consequently, every single terrier is a dog.",False,True,"∀x (Dog(x) → Canine(x))
 ∃x (Canine(x) ∧ Terrier(x))
 ∀x (EverySingleTerrier(x) → Dog(x))
","forall x (dog(x) implies canine(x))
 exists x (canine(x) and terrier(x))
 forall x (everysingleterrier(x) implies dog(x))
","[@every *x [(dog[(?x)]  canine[(?x)])]
 *x [(canine[(?x)]  terrier[(?x)])]
 @every *x [(everysingleterrier[(?x)]  dog[(?x)])]
]","forall (dog(x) -: canine(x))
  (canine(x) , terrier(x))
 forall (everysingleterrier(x) -: dog(x))
",-(+D0-+C0)+(+C1++T1)-(+E0-+D0),"all:x (dog(x) :- canine(x))
 x (canine(x) & terrier(x))
 all:x (everysingleterrier(x) :- dog(x))
",categorical
091c270b-32c3-44b5-ac07-f147bfe049fd,There are no trees that are also animals. Every single tree is a plant. It is the case that some plants fail to be animals.,True,True,"∃x (NoTreeThat(x) ∧ AlsoAnimal(x))
 ∀x (SingleTree(x) → Plant(x))
 ∀x (It(x) → CaseThatSomePlantFailToBeAnimal(x))
","exists x (notreethat(x) and alsoanimal(x))
 forall x (singletree(x) implies plant(x))
 forall x (it(x) implies casethatsomeplantfailtobeanimal(x))
","[*x [(notreethat[(?x)]  alsoanimal[(?x)])]
 @every *x [(singletree[(?x)]  plant[(?x)])]
 @every *x [(it[(?x)]  casethatsomeplantfailtobeanimal[(?x)])]
]"," (notreethat(x) , alsoanimal(x))
 forall (singletree(x) -: plant(x))
 forall (it(x) -: casethatsomeplantfailtobeanimal(x))
",+(+N1++A1)-(+S0-+P0)-(+I0-+C0),"x (notreethat(x) & alsoanimal(x))
 all:x (singletree(x) :- plant(x))
 all:x (it(x) :- casethatsomeplantfailtobeanimal(x))
",categorical
8158cb68-1891-4050-93f6-d7776e724658,Every single creature that is a canine is a mammal. A portion of canines are dogs. It is therefore the case that some dogs are mammals.,True,True,"∀x (SingleCreatureThat(x) → CanineAMammal(x))
 ∃x (Canine(x) ∧ Dog(x))
 ∀x (It(x) → Thing(x))
 ∀x (CaseThatSomeDog(x) → Mammal(x))
","forall x (singlecreaturethat(x) implies canineamammal(x))
 exists x (canine(x) and dog(x))
 forall x (it(x) implies thing(x))
 forall x (casethatsomedog(x) implies mammal(x))
","[@every *x [(singlecreaturethat[(?x)]  canineamammal[(?x)])]
 *x [(canine[(?x)]  dog[(?x)])]
 @every *x [(it[(?x)]  thing[(?x)])]
 @every *x [(casethatsomedog[(?x)]  mammal[(?x)])]
]","forall (singlecreaturethat(x) -: canineamammal(x))
  (canine(x) , dog(x))
 forall (it(x) -: thing(x))
 forall (casethatsomedog(x) -: mammal(x))
",-(+S0-+C0)+(+C1++D1)-(+I0-+T0)-(+C0-+M0),"all:x (singlecreaturethat(x) :- canineamammal(x))
 x (canine(x) & dog(x))
 all:x (it(x) :- thing(x))
 all:x (casethatsomedog(x) :- mammal(x))
",categorical
7e33d84f-4a3e-4ec4-a5ad-df409ed4bbd7,Every single bird is an animal. There are no animals that are minerals. This proves that some minerals are not birds.,True,True,"∀x (SingleBird(x) → Animal(x))
 ∃x (NoAnimalThat(x) ∧ Mineral(x))
 ∀x (ThiProveThatSomeMineral(x) → NotBird(x))
","forall x (singlebird(x) implies animal(x))
 exists x (noanimalthat(x) and mineral(x))
 forall x (thiprovethatsomemineral(x) implies notbird(x))
","[@every *x [(singlebird[(?x)]  animal[(?x)])]
 *x [(noanimalthat[(?x)]  mineral[(?x)])]
 @every *x [(thiprovethatsomemineral[(?x)]  notbird[(?x)])]
]","forall (singlebird(x) -: animal(x))
  (noanimalthat(x) , mineral(x))
 forall (thiprovethatsomemineral(x) -: notbird(x))
",-(+S0-+A0)+(+N1++M1)-(+T0-+N0),"all:x (singlebird(x) :- animal(x))
 x (noanimalthat(x) & mineral(x))
 all:x (thiprovethatsomemineral(x) :- notbird(x))
",categorical
38,No individual belonging to the species of zebra can be an astronaut. All zebras are classified as equines. It logically follows that certain members of the equine family are not astronauts.,True,True,"∀x (Individual(x) → ¬BelongingToTheSpecieOfZebraCanBeAnAstronaut(x))
 ∀x (Zebra(x) → ClassifiedAsEquine(x))
 ∃x (MemberOfTheEquineFamily(x) ∧ NotAstronaut(x))
","forall x (individual(x) implies not belongingtothespecieofzebracanbeanastronaut(x))
 forall x (zebra(x) implies classifiedasequine(x))
 exists x (memberoftheequinefamily(x) and notastronaut(x))
","[@every *x [(individual[(?x)]  ~belongingtothespecieofzebracanbeanastronaut[(?x)])]
 @every *x [(zebra[(?x)]  classifiedasequine[(?x)])]
 *x [(memberoftheequinefamily[(?x)]  notastronaut[(?x)])]
]","forall (individual(x) -: notbelongingtothespecieofzebracanbeanastronaut(x))
 forall (zebra(x) -: classifiedasequine(x))
  (memberoftheequinefamily(x) , notastronaut(x))
",-(+I0--+B0)-(+Z0-+C0)+(+M1++N1),"all:x (individual(x) :- ~belongingtothespecieofzebracanbeanastronaut(x))
 all:x (zebra(x) :- classifiedasequine(x))
 x (memberoftheequinefamily(x) & notastronaut(x))
",categorical
e79947da-dcf7-459b-8d64-417bd24ace94,Not a single motorized vehicle is a bicycle. It is also true that no motorized vehicle is a car. It follows that no car is a bicycle.,False,True,"∀x (Motorized(x) → ¬VehicleABicycle(x))
 ∀x (It(x) → AlsoTrueThatNoMotorizedVehicleACar(x))
 ∀x (Car(x) → ¬Bicycle(x))
","forall x (motorized(x) implies not vehicleabicycle(x))
 forall x (it(x) implies alsotruethatnomotorizedvehicleacar(x))
 forall x (car(x) implies not bicycle(x))
","[@every *x [(motorized[(?x)]  ~vehicleabicycle[(?x)])]
 @every *x [(it[(?x)]  alsotruethatnomotorizedvehicleacar[(?x)])]
 @every *x [(car[(?x)]  ~bicycle[(?x)])]
]","forall (motorized(x) -: notvehicleabicycle(x))
 forall (it(x) -: alsotruethatnomotorizedvehicleacar(x))
 forall (car(x) -: notbicycle(x))
",-(+M0--+V0)-(+I0-+A0)-(+C0--+B0),"all:x (motorized(x) :- ~vehicleabicycle(x))
 all:x (it(x) :- alsotruethatnomotorizedvehicleacar(x))
 all:x (car(x) :- ~bicycle(x))
",categorical
3385a56c-c169-4cea-ab4b-5a48ed4980d1,"There exist some birds that are fish. A number of sharks are fish. It follows, then, that some sharks are birds.",False,False,"∃x (BirdThat(x) ∧ Fish(x))
 ∃x (Shark(x) ∧ Fish(x))
 ∀x (ThenThatSomeShark(x) → Bird(x))
","exists x (birdthat(x) and fish(x))
 exists x (shark(x) and fish(x))
 forall x (thenthatsomeshark(x) implies bird(x))
","[*x [(birdthat[(?x)]  fish[(?x)])]
 *x [(shark[(?x)]  fish[(?x)])]
 @every *x [(thenthatsomeshark[(?x)]  bird[(?x)])]
]"," (birdthat(x) , fish(x))
  (shark(x) , fish(x))
 forall (thenthatsomeshark(x) -: bird(x))
",+(+B1++F1)+(+S1++F1)-(+T0-+B0),"x (birdthat(x) & fish(x))
 x (shark(x) & fish(x))
 all:x (thenthatsomeshark(x) :- bird(x))
",categorical
